A_x,A_y,A_z,G_x,G_y,G_z,State,A_vec,G_vec
0.176269531,-0.933837891,0.098144531,-13.54980469,-55.22918701,0.32043457,0,0.955382909,56.86794337
0.176269531,-0.933837891,0.098144531,-13.54980469,-55.22918701,0.32043457,0,0.955382909,56.86794337
0.176269531,-0.933837891,0.098144531,-13.54980469,-55.22918701,0.32043457,0,0.955382909,56.86794337
0.176269531,-0.933837891,0.098144531,-13.54980469,-55.22918701,0.32043457,0,0.955382909,56.86794337
0.077880859,-1.070556641,0.053222656,-2.220153809,-13.90838623,4.402160645,0,1.074704425,14.75639891
0.077880859,-1.070556641,0.053222656,-2.220153809,-13.90838623,4.402160645,0,1.074704425,14.75639891
0.077880859,-1.070556641,0.053222656,-2.220153809,-13.90838623,4.402160645,0,1.074704425,14.75639891
0.077880859,-1.070556641,0.053222656,-2.220153809,-13.90838623,4.402160645,0,1.074704425,14.75639891
0.264404297,-0.945556641,0.087646484,41.00799561,-42.96875,-11.18469238,0,0.985732671,60.44060327
0.264404297,-0.945556641,0.087646484,41.00799561,-42.96875,-11.18469238,0,0.985732671,60.44060327
0.264404297,-0.945556641,0.087646484,41.00799561,-42.96875,-11.18469238,0,0.985732671,60.44060327
0.264404297,-0.945556641,0.087646484,41.00799561,-42.96875,-11.18469238,0,0.985732671,60.44060327
0.144775391,-0.936523438,0.104736328,12.75634766,-69.06890869,-13.90838623,0,0.953417936,71.60085028
0.144775391,-0.936523438,0.104736328,12.75634766,-69.06890869,-13.90838623,0,0.953417936,71.60085028
0.144775391,-0.936523438,0.104736328,12.75634766,-69.06890869,-13.90838623,0,0.953417936,71.60085028
0.144775391,-0.936523438,0.104736328,12.75634766,-69.06890869,-13.90838623,0,0.953417936,71.60085028
0.144775391,-0.936523438,0.104736328,12.75634766,-69.06890869,-13.90838623,0,0.953417936,71.60085028
0.332519531,-0.908935547,0.359619141,-16.83044434,-1.815795898,15.69366455,0,1.032501328,23.08358894
0.332519531,-0.908935547,0.359619141,-16.83044434,-1.815795898,15.69366455,0,1.032501328,23.08358894
0.332519531,-0.908935547,0.359619141,-16.83044434,-1.815795898,15.69366455,0,1.032501328,23.08358894
0.332519531,-0.908935547,0.359619141,-16.83044434,-1.815795898,15.69366455,0,1.032501328,23.08358894
0.121337891,-1.019287109,0.080078125,-5.180358887,38.28430176,-2.227783203,0,1.029602642,38.69737584
0.121337891,-1.019287109,0.080078125,-5.180358887,38.28430176,-2.227783203,0,1.029602642,38.69737584
0.121337891,-1.019287109,0.080078125,-5.180358887,38.28430176,-2.227783203,0,1.029602642,38.69737584
0.121337891,-1.019287109,0.080078125,-5.180358887,38.28430176,-2.227783203,0,1.029602642,38.69737584
0.258544922,-0.977294922,0.126220703,-5.462646484,34.95788574,-17.23480225,0,1.018765187,39.35648219
0.258544922,-0.977294922,0.126220703,-5.462646484,34.95788574,-17.23480225,0,1.018765187,39.35648219
0.258544922,-0.977294922,0.126220703,-5.462646484,34.95788574,-17.23480225,0,1.018765187,39.35648219
0.258544922,-0.977294922,0.126220703,-5.462646484,34.95788574,-17.23480225,0,1.018765187,39.35648219
0.295898438,-0.985839844,0.140869141,-8.331298828,22.12524414,-2.983093262,0,1.038884112,23.82930578
0.295898438,-0.985839844,0.140869141,-8.331298828,22.12524414,-2.983093262,0,1.038884112,23.82930578
0.295898438,-0.985839844,0.140869141,-8.331298828,22.12524414,-2.983093262,0,1.038884112,23.82930578
0.295898438,-0.985839844,0.140869141,-8.331298828,22.12524414,-2.983093262,0,1.038884112,23.82930578
0.220214844,-0.963134766,0.139160156,-3.089904785,-19.65332031,1.617431641,0,0.997741802,19.96037565
0.220214844,-0.963134766,0.139160156,-3.089904785,-19.65332031,1.617431641,0,0.997741802,19.96037565
0.220214844,-0.963134766,0.139160156,-3.089904785,-19.65332031,1.617431641,0,0.997741802,19.96037565
0.220214844,-0.963134766,0.139160156,-3.089904785,-19.65332031,1.617431641,0,0.997741802,19.96037565
0.252197266,-0.926025391,0.129638672,0.205993652,-24.17755127,1.678466797,0,0.968469241,24.23661836
0.252197266,-0.926025391,0.129638672,0.205993652,-24.17755127,1.678466797,0,0.968469241,24.23661836
0.252197266,-0.926025391,0.129638672,0.205993652,-24.17755127,1.678466797,0,0.968469241,24.23661836
0.197021484,-1.041015625,0.071533203,-10.75744629,10.13946533,-6.187438965,0,1.061907715,16.02547375
0.197021484,-1.041015625,0.071533203,-10.75744629,10.13946533,-6.187438965,0,1.061907715,16.02547375
0.197021484,-1.041015625,0.071533203,-10.75744629,10.13946533,-6.187438965,0,1.061907715,16.02547375
0.197021484,-1.041015625,0.071533203,-10.75744629,10.13946533,-6.187438965,0,1.061907715,16.02547375
0.186279297,-0.944824219,0.122558594,3.463745117,-31.70776367,1.815795898,0,0.970779784,31.94803471
0.186279297,-0.944824219,0.122558594,3.463745117,-31.70776367,1.815795898,0,0.970779784,31.94803471
0.186279297,-0.944824219,0.122558594,3.463745117,-31.70776367,1.815795898,0,0.970779784,31.94803471
0.186279297,-0.944824219,0.122558594,3.463745117,-31.70776367,1.815795898,0,0.970779784,31.94803471
0.371582031,-0.963378906,0.086669922,-16.51000977,21.2097168,-10.84899902,0,1.036187144,28.98505285
0.371582031,-0.963378906,0.086669922,-16.51000977,21.2097168,-10.84899902,0,1.036187144,28.98505285
0.371582031,-0.963378906,0.086669922,-16.51000977,21.2097168,-10.84899902,0,1.036187144,28.98505285
0.371582031,-0.963378906,0.086669922,-16.51000977,21.2097168,-10.84899902,0,1.036187144,28.98505285
0.089355469,-0.961181641,0.12890625,-13.45062256,-7.15637207,-8.30078125,0,0.973894947,17.35038552
0.089355469,-0.961181641,0.12890625,-13.45062256,-7.15637207,-8.30078125,0,0.973894947,17.35038552
0.089355469,-0.961181641,0.12890625,-13.45062256,-7.15637207,-8.30078125,0,0.973894947,17.35038552
0.089355469,-0.961181641,0.12890625,-13.45062256,-7.15637207,-8.30078125,0,0.973894947,17.35038552
0.104736328,-1.002685547,0.028564453,18.40209961,-36.85760498,-17.69256592,0,1.008545454,44.8346652
0.104736328,-1.002685547,0.028564453,18.40209961,-36.85760498,-17.69256592,0,1.008545454,44.8346652
0.104736328,-1.002685547,0.028564453,18.40209961,-36.85760498,-17.69256592,0,1.008545454,44.8346652
0.104736328,-1.002685547,0.028564453,18.40209961,-36.85760498,-17.69256592,0,1.008545454,44.8346652
0.256103516,-0.950439453,0.072021484,12.10784912,-41.23687744,-9.620666504,0,0.986970749,44.04131351
0.256103516,-0.950439453,0.072021484,12.10784912,-41.23687744,-9.620666504,0,0.986970749,44.04131351
0.256103516,-0.950439453,0.072021484,12.10784912,-41.23687744,-9.620666504,0,0.986970749,44.04131351
0.256103516,-0.950439453,0.072021484,12.10784912,-41.23687744,-9.620666504,0,0.986970749,44.04131351
0.412109375,-0.918457031,0.273193359,17.92907715,-16.63208008,3.547668457,0,1.043087756,24.7116136
0.412109375,-0.918457031,0.273193359,17.92907715,-16.63208008,3.547668457,0,1.043087756,24.7116136
0.412109375,-0.918457031,0.273193359,17.92907715,-16.63208008,3.547668457,0,1.043087756,24.7116136
0.412109375,-0.918457031,0.273193359,17.92907715,-16.63208008,3.547668457,0,1.043087756,24.7116136
0.253173828,-1.073974609,0.147949219,-26.71051025,-15.41900635,2.258300781,0,1.113286765,30.92405273
0.253173828,-1.073974609,0.147949219,-26.71051025,-15.41900635,2.258300781,0,1.113286765,30.92405273
0.253173828,-1.073974609,0.147949219,-26.71051025,-15.41900635,2.258300781,0,1.113286765,30.92405273
0.253173828,-1.073974609,0.147949219,-26.71051025,-15.41900635,2.258300781,0,1.113286765,30.92405273
0.054443359,-1.164794922,0.025146484,31.53991699,-27.1987915,-23.97155762,0,1.166337702,48.05388848
0.054443359,-1.164794922,0.025146484,31.53991699,-27.1987915,-23.97155762,0,1.166337702,48.05388848
0.054443359,-1.164794922,0.025146484,31.53991699,-27.1987915,-23.97155762,0,1.166337702,48.05388848
0.054443359,-1.164794922,0.025146484,31.53991699,-27.1987915,-23.97155762,0,1.166337702,48.05388848
0.302001953,-0.843017578,0.135009766,0.65612793,-6.019592285,1.312255859,0,0.905600052,6.195805886
0.302001953,-0.843017578,0.135009766,0.65612793,-6.019592285,1.312255859,0,0.905600052,6.195805886
0.302001953,-0.843017578,0.135009766,0.65612793,-6.019592285,1.312255859,0,0.905600052,6.195805886
0.302001953,-0.843017578,0.135009766,0.65612793,-6.019592285,1.312255859,0,0.905600052,6.195805886
0.258544922,-0.826904297,-0.083984375,-38.83361816,-10.62011719,20.20263672,0,0.870442168,45.04423736
0.258544922,-0.826904297,-0.083984375,-38.83361816,-10.62011719,20.20263672,0,0.870442168,45.04423736
0.258544922,-0.826904297,-0.083984375,-38.83361816,-10.62011719,20.20263672,0,0.870442168,45.04423736
0.258544922,-0.826904297,-0.083984375,-38.83361816,-10.62011719,20.20263672,0,0.870442168,45.04423736
0.134765625,-0.948730469,0.121826172,17.66204834,-14.67895508,1.564025879,0,0.965967335,23.01881515
0.134765625,-0.948730469,0.121826172,17.66204834,-14.67895508,1.564025879,0,0.965967335,23.01881515
0.134765625,-0.948730469,0.121826172,17.66204834,-14.67895508,1.564025879,0,0.965967335,23.01881515
